STN,YYYYMMDD,   RD
664,18810904,2
664,18810905,74
664,18810906,27
664,18810907,0
664,18810908,17
664,18810909,106
664,18810910,105
664,18810911,4
664,18810912,25
664,18810913,36
664,18810914,80
664,18810915,1
664,18810916,0
664,18810917,1
664,18810918,0
664,18810919,1
664,18810920,11
664,18810921,4
664,18810922,1
664,18810923,27
664,18810924,5
664,18810925,0
664,18810926,16
664,18810927,24
664,18810928,6
664,18810929,44
664,18810930,0
664,18811001,0
664,18811002,0
664,18811003,0
664,18811004,0
664,18811005,0
664,18811006,2
664,18811007,65
664,18811008,0
664,18811009,0
664,18811010,30
664,18811011,0
664,18811012,25
664,18811013,35
664,18811014,105
664,18811015,85
664,18811016,40
664,18811017,0
664,18811018,0
664,18811019,0
664,18811020,0
664,18811021,25
664,18811022,0
664,18811023,85
664,18811024,65
664,18811025,0
664,18811026,20
664,18811027,0
664,18811028,0
664,18811029,10
664,18811030,5
664,18811031,0
664,18811101,0
664,18811102,0
664,18811103,0
664,18811104,15
664,18811105,15
664,18811106,10
664,18811107,47
664,18811108,5
664,18811109,0
664,18811110,0
664,18811111,10
664,18811112,0
664,18811113,0
664,18811114,5
664,18811115,0
664,18811116,10
664,18811117,55
664,18811118,5
664,18811119,0
664,18811120,0
664,18811121,10
664,18811122,40
664,18811123,20
664,18811124,120
664,18811125,0
664,18811126,15
664,18811127,110
664,18811128,70
664,18811129,0
664,18811130,0
664,18811201,60
664,18811202,10
664,18811203,20
664,18811204,0
664,18811205,10
664,18811206,35
664,18811207,0
664,18811208,33
664,18811209,0
664,18811210,0
664,18811211,0
664,18811212,5
664,18811213,0
664,18811214,0
664,18811215,0
664,18811216,0
664,18811217,0
664,18811218,250
664,18811219,30
664,18811220,40
664,18811221,165
664,18811222,0
664,18811223,0
664,18811224,0
664,18811225,0
664,18811226,10
664,18811227,5
664,18811228,0
664,18811229,5
664,18811230,0
664,18811231,0
664,18820101,10
664,18820102,0
664,18820103,52
664,18820104,20
664,18820105,0
664,18820106,40
664,18820107,30
664,18820108,20
664,18820109,200
664,18820110,10
664,18820111,0
664,18820112,10
664,18820113,5
664,18820114,0
664,18820115,0
664,18820116,0
664,18820117,0
664,18820118,0
664,18820119,0
664,18820120,0
664,18820121,0
664,18820122,0
664,18820123,10
664,18820124,0
664,18820125,0
664,18820126,0
664,18820127,0
664,18820128,0
664,18820129,0
664,18820130,10
664,18820131,20
664,18820201,0
664,18820202,0
664,18820203,0
664,18820204,0
664,18820205,0
664,18820206,0
664,18820207,0
664,18820208,0
664,18820209,0
664,18820210,0
664,18820211,50
664,18820212,0
664,18820213,0
664,18820214,0
664,18820215,30
664,18820216,135
664,18820217,85
664,18820218,20
664,18820219,25
664,18820220,20
664,18820221,10
664,18820222,0
664,18820223,5
664,18820224,0
664,18820225,0
664,18820226,5
664,18820227,10
664,18820228,50
664,18820301,25
664,18820302,65
664,18820303,0
664,18820304,55
664,18820305,0
664,18820306,10
664,18820307,0
664,18820308,8
664,18820309,0
664,18820310,0
664,18820311,2
664,18820312,0
664,18820313,0
664,18820314,0
664,18820315,0
664,18820316,0
664,18820317,0
664,18820318,0
664,18820319,0
664,18820320,0
664,18820321,0
664,18820322,95
664,18820323,20
664,18820324,0
664,18820325,50
664,18820326,95
664,18820327,225
664,18820328,5
664,18820329,0
664,18820330,0
664,18820331,65
664,18820401,0
664,18820402,0
664,18820403,0
664,18820404,5
664,18820405,0
664,18820406,0
664,18820407,0
664,18820408,0
664,18820409,0
664,18820410,0
664,18820411,0
664,18820412,0
664,18820413,0
664,18820414,50
664,18820415,20
664,18820416,40
664,18820417,0
664,18820418,90
664,18820419,25
664,18820420,28
664,18820421,0
664,18820422,0
664,18820423,92
664,18820424,0
664,18820425,58
664,18820426,110
664,18820427,117
664,18820428,30
664,18820429,10
664,18820430,30
664,18820501,10
664,18820502,0
664,18820503,0
664,18820504,0
664,18820505,60
664,18820506,0
664,18820507,125
664,18820508,65
664,18820509,50
664,18820510,15
664,18820511,5
664,18820512,0
664,18820513,0
664,18820514,10
664,18820515,5
664,18820516,0
664,18820517,0
664,18820518,0
664,18820519,10
664,18820520,0
664,18820521,0
664,18820522,0
664,18820523,5
664,18820524,35
664,18820525,0
664,18820526,85
664,18820527,0
664,18820528,0
664,18820529,60
664,18820530,0
664,18820531,0
664,18820601,0
664,18820602,0
664,18820603,0
664,18820604,0
664,18820605,0
664,18820606,0
664,18820607,25
664,18820608,35
664,18820609,10
664,18820610,25
664,18820611,100
664,18820612,135
664,18820613,133
664,18820614,70
664,18820615,120
664,18820616,52
664,18820617,10
664,18820618,0
664,18820619,40
664,18820620,5
664,18820621,0
664,18820622,0
664,18820623,23
664,18820624,0
664,18820625,45
664,18820626,0
664,18820627,225
664,18820628,65
664,18820629,0
664,18820630,28
664,18820701,0
664,18820702,0
664,18820703,0
664,18820704,0
664,18820705,0
664,18820706,47
664,18820707,50
664,18820708,10
664,18820709,15
664,18820710,22
664,18820711,55
664,18820712,205
664,18820713,213
664,18820714,0
664,18820715,0
664,18820716,10
664,18820717,20
664,18820718,10
664,18820719,0
664,18820720,275
664,18820721,0
664,18820722,0
664,18820723,0
664,18820724,50
664,18820725,35
664,18820726,85
664,18820727,115
664,18820728,0
664,18820729,0
664,18820730,0
664,18820731,0
664,18820801,0
664,18820802,65
664,18820803,35
664,18820804,50
664,18820805,0
664,18820806,0
664,18820807,18
664,18820808,0
664,18820809,5
664,18820810,0
664,18820811,0
664,18820812,0
664,18820813,0
664,18820814,5
664,18820815,0
664,18820816,30
664,18820817,60
664,18820818,0
664,18820819,0
664,18820820,77
664,18820821,38
664,18820822,83
664,18820823,95
664,18820824,72
664,18820825,10
664,18820826,85
664,18820827,115
664,18820828,0
664,18820829,0
664,18820830,0
664,18820831,0
664,18820901,10
664,18820902,0
664,18820903,0
664,18820904,0
664,18820905,0
664,18820906,0
664,18820907,45
664,18820908,0
664,18820909,0
664,18820910,0
664,18820911,0
