"Depth" "AirTemp" "WaterTemp"
"1262" 5 2.5339 3.633321
"1263" 7.5 2.5339 3.870249
"1293" 0 4.3694 4.846012
"1294" 1 4.3694 4.761714
"1295" 2.5 4.3694 4.635704
"1296" 5 4.3694 4.489407
"1297" 7.5 4.3694 4.3172
"1327" 0 13.1183 10.38524
"1328" 1 13.1183 9.633694
"1329" 2.5 13.1183 8.506537
"1330" 5 13.1183 7.32008
"1331" 7.5 13.1183 6.547876
"1361" 0 12.95 15.39854
"1362" 1 12.95 14.59258
"1363" 2.5 12.95 13.38356
"1364" 5 12.95 12.21159
"1365" 7.5 12.95 11.58225
"1395" 0 17.465 20.41328
"1396" 1 17.465 19.7856
"1397" 2.5 17.465 18.84398
"1398" 5 17.465 17.71693
"1399" 7.5 17.465 17.28092
"1429" 0 21.0387 23.12527
"1430" 1 21.0387 22.77279
"1431" 2.5 21.0387 22.24407
"1432" 5 21.0387 21.35473
"1433" 7.5 21.0387 19.27499
"1463" 0 20.0097 23.22373
"1464" 1 20.0097 23.02201
"1465" 2.5 20.0097 22.71941
"1466" 5 20.0097 22.3737
"1467" 7.5 20.0097 19.08746
"1497" 0 18.3567 21.6176
"1498" 1 18.3567 21.34133
"1499" 2.5 18.3567 20.92692
"1500" 5 18.3567 20.97271
"1501" 7.5 18.3567 20.73778
"1531" 0 12.4661 15.53888
"1532" 1 12.4661 15.37274
"1533" 2.5 12.4661 15.12358
"1534" 5 12.4661 15.22072
"1535" 7.5 12.4661 15.87746
"1565" 0 3.6183 9.11343
"1566" 1 3.6183 9.107413
"1567" 2.5 3.6183 9.09838
"1568" 5 3.6183 9.100303
"1569" 7.5 3.6183 9.124566
"1599" 0 3.0516 6.256496
"1600" 1 3.0516 6.277244
"1601" 2.5 3.0516 6.308246
"1602" 5 3.0516 6.258231
"1603" 7.5 3.0516 6.048998
"1633" 0 -0.371 5.484354
"1634" 1 -0.371 5.468404
"1635" 2.5 -0.371 5.444487
"1636" 5 -0.371 5.394568
"1637" 7.5 -0.371 5.33037
"1667" 0 3.8804 4.571059
"1668" 1 3.8804 4.562948
"1669" 2.5 3.8804 4.550909
"1670" 5 3.8804 4.532732
"1671" 7.5 3.8804 4.527145
"1701" 0 6.3129 5.162306
"1702" 1 6.3129 5.106734
"1703" 2.5 6.3129 5.026576
"1704" 5 6.3129 4.891876
"1705" 7.5 6.3129 4.747304
"1735" 0 7.5883 6.854161
"1736" 1 7.5883 6.784451
"1737" 2.5 7.5883 6.681016
"1738" 5 7.5883 6.461968
"1739" 7.5 7.5883 6.065709
"1769" 0 15.2435 15.11521
"1770" 1 15.2435 14.3725
"1771" 2.5 15.2435 13.25819
"1772" 5 15.2435 9.561351
"1773" 7.5 15.2435 8.086904
"1803" 0 19.34 20.1506
"1804" 1 19.34 19.79712
"1805" 2.5 19.34 19.267
"1806" 5 19.34 17.82759
"1807" 7.5 19.34 14.55387
"1837" 0 20.929 22.53209
"1838" 1 20.929 22.49929
"1839" 2.5 20.929 22.45004
"1840" 5 20.929 22.55871
"1841" 7.5 20.929 19.56914
"1871" 0 18.8742 23.12741
"1872" 1 18.8742 22.90315
"1873" 2.5 18.8742 22.56674
"1874" 5 18.8742 21.97765
"1875" 7.5 18.8742 20.9074
"1905" 0 14.2783 18.45009
"1906" 1 14.2783 18.35619
"1907" 2.5 14.2783 18.21542
"1908" 5 14.2783 17.99239
"1909" 7.5 14.2783 17.67639
"1939" 0 9.5032 13.66666
"1940" 1 9.5032 13.69806
"1941" 2.5 9.5032 13.74485
"1942" 5 9.5032 13.82011
"1943" 7.5 9.5032 13.73974
"1973" 0 4.7817 9.585356
"1974" 1 4.7817 9.586348
"1975" 2.5 4.7817 9.589373
"1976" 5 4.7817 9.594306
"1977" 7.5 4.7817 9.636583
"2007" 0 -1.6871 5.864912
"2008" 1 -1.6871 5.879867
"2009" 2.5 -1.6871 5.894854
"2010" 5 -1.6871 5.924746
"2011" 7.5 -1.6871 5.94496
"2041" 0 1.5806 4.502834
"2042" 1 1.5806 4.508636
"2043" 2.5 1.5806 4.514628
"2044" 5 1.5806 4.526461
"2045" 7.5 1.5806 4.536374
"2075" 0 2.6 4.221747
"2076" 1 2.6 4.223555
"2077" 2.5 2.6 4.226447
"2078" 5 2.6 4.231143
"2079" 7.5 2.6 4.231294
"2109" 0 3.9 4.440532
"2110" 1 3.9 4.42843
"2111" 2.5 3.9 4.410223
"2112" 5 3.9 4.379915
"2113" 7.5 3.9 4.374624
"2143" 0 8.6817 6.362964
"2144" 1 8.6817 6.262752
"2145" 2.5 8.6817 6.112452
"2146" 5 8.6817 5.86194
"2147" 7.5 8.6817 5.746283
"2177" 0 12.4984 12.323
"2178" 1 12.4984 12.24474
"2179" 2.5 12.4984 12.12734
"2180" 5 12.4984 11.93167
"2181" 7.5 12.4984 10.31295
"2211" 0 16.19 19.01249
"2212" 1 16.19 18.6577
"2213" 2.5 16.19 18.1255
"2214" 5 16.19 17.23852
"2215" 7.5 16.19 13.14807
"2245" 0 18.6629 21.73095
"2246" 1 18.6629 21.50041
"2247" 2.5 18.6629 21.1546
"2248" 5 18.6629 20.57822
"2249" 7.5 18.6629 18.44308
"2279" 0 18.0935 20.24423
"2280" 1 18.0935 20.17236
"2281" 2.5 18.0935 20.06455
"2282" 5 18.0935 19.88491
"2283" 7.5 18.0935 17.13895
"2313" 0 15.6183 18.73716
"2314" 1 15.6183 18.74889
"2315" 2.5 15.6183 18.76649
"2316" 5 15.6183 18.79585
"2317" 7.5 15.6183 18.30834
"2347" 0 8.2484 13.8485
"2348" 1 8.2484 13.83204
"2349" 2.5 8.2484 13.80733
"2350" 5 8.2484 13.76696
"2351" 7.5 8.2484 13.71501
"2381" 0 6.735 9.599184
"2382" 1 6.735 9.602238
"2383" 2.5 6.735 9.606911
"2384" 5 6.735 9.610086
"2385" 7.5 6.735 9.627102
"2415" 0 0.5597 6.708225
"2416" 1 0.5597 6.70681
"2417" 2.5 0.5597 6.704428
"2418" 5 0.5597 6.713384
"2419" 7.5 0.5597 6.709736
"2449" 0 -0.4742 4.927324
"2450" 1 -0.4742 4.928358
"2451" 2.5 -0.4742 4.930188
"2452" 5 -0.4742 4.921664
"2453" 7.5 -0.4742 4.922517
"2483" 0 -0.5276 3.32724
"2484" 1 -0.5276 3.352802
"2485" 2.5 -0.5276 3.395488
"2486" 5 -0.5276 3.443142
"2487" 7.5 -0.5276 3.510728
"2517" 0 5.721 4.68427
"2518" 1 5.721 4.641627
"2519" 2.5 5.721 4.578409
"2520" 5 5.721 4.313527
"2521" 7.5 5.721 4.209169
"2551" 0 11.2317 11.45364
"2552" 1 11.2317 11.20304
"2553" 2.5 11.2317 10.82702
"2554" 5 11.2317 7.759976
"2555" 7.5 11.2317 6.567183
"2585" 0 14.3016 15.58352
"2586" 1 14.3016 15.33809
"2587" 2.5 14.3016 14.96993
"2588" 5 14.3016 14.39364
"2589" 7.5 14.3016 12.64923
"2619" 0 17.8567 20.87698
"2620" 1 17.8567 20.31484
"2621" 2.5 17.8567 19.47154
"2622" 5 17.8567 18.57236
"2623" 7.5 17.8567 16.88975
"2653" 0 21.4032 24.22897
"2654" 1 21.4032 23.75565
"2655" 2.5 21.4032 23.0458
"2656" 5 21.4032 21.76006
"2657" 7.5 21.4032 18.60542
"2687" 0 19.7984 23.05389
"2688" 1 19.7984 23.02277
"2689" 2.5 19.7984 22.97583
"2690" 5 19.7984 22.9117
"2691" 7.5 19.7984 20.19706
"2721" 0 12.0883 17.82301
"2722" 1 12.0883 17.86376
"2723" 2.5 12.0883 17.92666
"2724" 5 12.0883 18.02106
"2725" 7.5 12.0883 17.96247
"2755" 0 9.1177 10.95444
"2756" 1 9.1177 10.9391
"2757" 2.5 9.1177 10.92113
"2758" 5 9.1177 10.87883
"2759" 7.5 9.1177 10.82631
"2789" 0 2.925 7.222801
"2790" 1 2.925 7.219537
"2791" 2.5 2.925 7.220072
"2792" 5 2.925 7.206237
"2793" 7.5 2.925 7.205374
"2823" 0 0.2871 5.471255
"2824" 1 0.2871 5.482938
"2825" 2.5 0.2871 5.499767
"2826" 5 0.2871 5.529475
"2827" 7.5 0.2871 5.557654
"2857" 0 -2.4403 3.932789
"2858" 1 -2.4403 3.943507
"2859" 2.5 -2.4403 3.944631
"2860" 5 -2.4403 3.960336
"2861" 7.5 -2.4403 3.969017
"2891" 0 -0.1196 3.132169
"2892" 1 -0.1196 3.137906
"2893" 2.5 -0.1196 3.133189
"2894" 5 -0.1196 3.174046
"2895" 7.5 -0.1196 3.191895
"2925" 0 6.7242 3.602582
"2926" 1 6.7242 3.53516
"2927" 2.5 6.7242 3.432197
"2928" 5 6.7242 3.438671
"2929" 7.5 6.7242 3.423755
"2959" 0 10.5333 7.8122
"2960" 1 10.5333 7.568393
"2961" 2.5 10.5333 7.202062
"2962" 5 10.5333 6.603271
"2963" 7.5 10.5333 6.163688
"2993" 0 14.9694 13.68941
"2994" 1 14.9694 13.29031
"2995" 2.5 14.9694 12.68764
"2996" 5 14.9694 11.6773
"2997" 7.5 14.9694 10.75041
"3027" 0 15.575 18.82817
"3028" 1 15.575 18.02192
"3029" 2.5 15.575 16.81266
"3030" 5 15.575 14.79694
"3031" 7.5 15.575 13.93727
"3061" 0 18.9258 20.04943
"3062" 1 18.9258 19.32684
"3063" 2.5 18.9258 18.24295
"3064" 5 18.9258 16.4367
"3065" 7.5 18.9258 15.01343
"3095" 0 18.3935 20.0761
"3096" 1 18.3935 20.11451
"3097" 2.5 18.3935 20.17194
"3098" 5 18.3935 20.26703
"3099" 7.5 18.3935 18.57665
"3129" 0 15.81 18.94982
"3130" 1 15.81 18.92845
"3131" 2.5 15.81 18.89841
"3132" 5 15.81 18.85285
"3133" 7.5 15.81 18.48462
"3163" 0 11.0645 14.54829
"3164" 1 11.0645 14.56189
"3165" 2.5 11.0645 14.58754
"3166" 5 11.0645 14.63031
"3167" 7.5 11.0645 14.67582
"3197" 0 3.5233 10.7262
"3198" 1 3.5233 10.73923
"3199" 2.5 3.5233 10.76323
"3200" 5 3.5233 10.79126
"3201" 7.5 3.5233 10.82566
"3231" 0 1.9613 6.583143
"3232" 1 1.9613 6.598256
"3233" 2.5 1.9613 6.616268
"3234" 5 1.9613 6.653257
"3235" 7.5 1.9613 6.689867
"3265" 0 -2.5694 4.178473
"3266" 1 -2.5694 4.195205
"3267" 2.5 -2.5694 4.207807
"3268" 5 -2.5694 4.245496
"3269" 7.5 -2.5694 4.270132
"3299" 0 -1.1625 2.408776
"3300" 1 -1.1625 2.444624
"3301" 2.5 -1.1625 2.496388
"3302" 5 -1.1625 2.585263
"3303" 7.5 -1.1625 2.673669
"3333" 0 6.871 3.337136
"3334" 1 6.871 3.370231
"3335" 2.5 6.871 3.408361
"3336" 5 6.871 3.486559
"3337" 7.5 6.871 3.517447
"3367" 0 6.6067 6.540358
"3368" 1 6.6067 6.32996
"3369" 2.5 6.6067 6.018213
"3370" 5 6.6067 5.488
"3371" 7.5 6.6067 5.322144
"3401" 0 12.2339 15.58065
"3402" 1 12.2339 14.69402
"3403" 2.5 12.2339 13.36405
"3404" 5 12.2339 11.14747
"3405" 7.5 12.2339 9.870618
