"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
15.3583 14.66542 14.75167 14.76107 14.73248 14.36905
18.4306 18.64643 18.68692 18.67027 18.60005 17.71944
17.5935 22.11804 22.33573 22.37749 22.34603 19.74557
13.465 19.12479 19.24355 19.26921 19.1992 17.36609
10.8129 13.24627 13.2477 13.16543 13.1803 13.46197
6.325 11.00133 10.96008 10.96036 10.95385 10.92071
2.0806 6.856694 7.168402 7.203984 7.241592 7.257669
-5.2081 3.838983 4.434174 4.50996 4.589448 4.592006
-0.0804 3.616763 3.573902 3.56339 3.525473 3.509443
3.6081 3.950594 3.933914 3.959453 3.863195 3.948226
8.7067 5.732605 5.473103 5.404323 5.265504 4.945198
13.0048 12.70425 12.39084 12.10126 11.51025 8.421278
14.4767 19.28303 19.1975 19.08372 18.40895 15.32297
19.5194 19.39249 19.3183 19.32244 19.27474 13.9758
17.5323 20.51706 20.52657 20.56194 20.08515 12.81299
15.9417 19.60169 19.56828 19.64591 18.981 19.25154
10.0226 16.64694 16.74236 16.73962 16.75772 16.70963
1.2867 9.2228 9.435248 9.438346 9.43094 9.450176
3.8355 6.105461 6.068825 6.058327 6.044103 6.084747
1.0645 4.920075 4.929662 4.963481 5.030152 5.077
-5.1268 3.475087 3.434207 3.510968 3.666007 3.82165
3.8242 3.531142 3.442179 3.339456 3.125357 3.37057
6.2917 7.845933 7.699137 7.364602 6.71408 5.887015
14.5161 13.06235 13.10852 12.89826 12.42429 10.02028
16.05 15.89304 16.26281 16.37333 16.49661 12.50726
17.7016 21.47245 21.58618 21.5868 21.39996 16.98113
17.2855 20.62449 20.90706 20.87017 20.39185 18.43697
13.9183 17.71909 17.6666 17.58797 17.419 17.30297
11.45 15.64424 15.64972 15.65931 15.52294 15.14584
5.7517 10.05176 10.04658 10.0024 9.966206 10.00739
1.5935 7.461688 7.479918 7.413367 7.387831 7.35845
-4.3226 4.611913 4.554741 4.543405 4.596956 4.639059
0.7143 3.398143 3.382625 3.425003 3.499808 3.569902
1.1694 3.61224 3.771117 3.676238 3.600148 3.602335
10.2467 6.608895 6.63405 6.352191 5.859916 5.37119
10.2419 11.8703 11.9421 11.84686 11.75529 10.41896
14.6183 18.06414 18.05194 17.81111 15.94772 13.20927
18.4452 20.11781 20.10431 20.12587 17.84469 15.54676
17.3548 18.8562 18.65981 18.57416 18.37804 17.74313
17.265 19.43547 19.59945 19.44741 18.55856 16.70534
10.3871 14.39995 14.97626 14.98577 14.97751 15.10524
5.405 10.77373 10.66983 10.66411 10.63947 10.56509
2.3565 6.956523 6.994869 6.995672 6.995878 7.00099
3.621 5.923097 5.988289 5.986245 5.992203 5.989832
1.9586 5.158856 5.148636 5.15928 5.110156 5.109086
3.6355 4.639872 4.640417 4.609107 4.550671 4.547697
9.4283 8.036156 8.036713 7.96538 7.86543 7.63474
14.7742 14.07844 14.07333 14.08492 13.82373 13.53557
15.8133 16.4661 16.48774 16.48663 16.38972 14.51608
18.1306 20.29754 20.44643 20.44681 20.37797 17.78855
18.2 20.81742 20.95296 20.95325 20.96351 21.20826
14.3033 18.36125 18.35447 18.35324 18.35029 18.23487
11.0323 14.64807 14.6499 14.65684 14.6668 14.69969
2.9583 9.757912 9.762028 9.738763 9.710363 9.708206
2.621 6.938318 6.906985 6.791309 6.710983 6.710718
1.0984 5.697142 5.615934 5.541712 5.540718 5.545334
3.3964 5.088786 5.102969 5.078075 5.081454 5.053874
8.6145 5.983874 5.91758 5.804086 5.742369 5.65196
7.8267 9.32669 9.162541 8.487864 7.648462 7.402075
14.471 14.28414 14.30143 13.38819 12.32298 10.9035
15.6433 17.87514 17.77035 17.79161 17.82159 14.04422
18.8194 21.40218 21.16217 21.05487 20.94065 17.37613
18.0984 20.52099 20.55833 20.5629 20.57336 20.06011
14.56 17.43793 17.51018 17.50762 17.46671 17.46444
11.2484 15.03195 14.98108 14.98231 14.90831 14.90964
3.005 10.80567 10.73097 10.73091 10.73458 10.73364
2.6065 6.501755 6.516922 6.51661 6.512049 6.516847
1.2097 5.407442 5.384373 5.385222 5.39098 5.380576
6.9161 5.077141 4.967353 4.963645 4.938902 4.984192
7.9516 5.671904 5.610412 5.625019 5.708891 5.385187
7.625 10.45148 10.42241 10.30907 9.29526 7.812583
15.3323 15.94734 15.86385 15.61701 13.53764 11.73963
15.7167 15.83722 15.834 15.82475 15.66463 14.79299
18.6581 19.24403 19.24364 19.24336 19.24103 18.52595
19.479 22.72698 22.7286 22.72922 22.73348 21.35924
13.8533 19.29174 19.28561 19.28551 19.28401 19.32974
11.7952 14.70943 14.75591 14.75501 14.75357 14.54807
4.4883 9.927074 9.99618 9.998537 10.00377 10.01951
0.1274 7.004601 7.009778 6.996717 6.958091 6.948461
0.8952 5.49558 5.462597 5.501384 5.426049 5.429695
-0.7893 4.41187 4.509318 4.548008 4.542746 4.545697
7.4097 6.539684 6.301488 6.131926 5.966473 5.345619
8.0117 9.371775 9.12725 8.927323 8.518715 6.570223
9.7548 11.81317 11.79756 11.76419 11.41575 10.46035
15 18.11581 18.11306 17.86274 16.32201 15.67813
20.0629 21.46888 21.47011 21.01828 18.03229 16.56586
20.1387 23.03439 23.03434 22.76875 22.03105 20.80617
16.9067 21.10459 21.1041 21.13823 21.10792 20.78076
8.8952 15.51101 15.51225 15.50983 15.50893 15.51348
4.0283 9.585497 9.579997 9.581475 9.581667 9.578405
-0.3677 6.336323 6.377965 6.37642 6.377782 6.381921
-0.5855 4.641825 4.715225 4.717354 4.713721 4.707197
2.0517 4.24987 4.237465 4.228588 4.244225 4.271652
6.3306 4.546436 4.580837 4.628255 4.522929 4.344026
8.4183 6.617612 6.517198 6.362065 6.241738 6.127622
15.0226 14.35769 14.15154 13.72769 12.96078 11.88747
16.12 20.17102 20.20716 20.11859 18.9455 15.98211
19.1935 21.72528 21.72186 21.72286 21.77494 18.93374
21.2371 23.3576 23.35986 23.35912 23.32418 21.29168
14.9117 18.80531 18.80513 18.80519 18.80788 18.86012
7.8871 15.40837 15.40851 15.40848 15.40643 15.36185
6.4033 9.501931 9.501925 9.501901 9.50164 9.501934
0.621 7.18038 7.180377 7.180405 7.180838 7.183583
3.5516 5.402031 5.401875 5.401384 5.39623 5.411108
-0.0286 5.171471 5.17215 5.174301 5.196958 5.133932
4.6613 4.987326 4.983804 4.972642 4.830229 5.131536
10.9667 8.442138 8.450233 8.475892 8.416907 6.829097
14.9935 17.36524 17.3021 17.11437 15.52997 10.41682
17.05 22.32588 22.12449 21.71041 19.05087 16.29281
17.0871 21.38251 21.17631 20.87485 20.7257 19.77121
17.8871 21.4652 21.33202 20.96518 20.25879 18.37132
13.5533 17.6889 17.69375 17.70902 17.41815 17.42567
8.1823 13.80528 13.80307 13.79678 13.59479 13.56741
1.2333 8.639518 8.64209 8.64618 8.681553 8.697455
4.0323 5.727834 5.724332 5.72219 5.71538 5.710602
2.7129 5.32499 5.344823 5.355674 5.378757 5.399497
2.2839 5.27243 5.221264 5.194148 5.15218 5.106681
9.3 5.551733 5.398257 5.328119 5.500999 5.510357
7.5583 8.402258 8.399841 8.341061 7.074424 6.594446
13.3355 14.17252 13.88624 13.27363 11.09361 10.49196
16.9917 19.75186 19.37359 18.52006 16.40285 14.68537
21.9032 26.95042 27.06454 26.78386 22.45053 15.98617
19.7177 24.53249 24.68414 24.64276 24.52589 19.96905
14.0017 19.92465 19.91612 19.95306 19.82849 19.34483
9.8806 14.69067 14.69718 14.64603 14.68365 14.62604
7.8817 11.36784 11.36288 11.443 11.44029 11.51684
3.5048 8.239793 8.272794 8.26229 8.263377 8.282777
-0.0887 5.405515 5.484189 5.484208 5.486522 5.570247
5.4036 5.401688 5.398712 5.398627 5.388395 5.363083
3.8435 5.212328 5.210774 5.209789 5.240431 5.283408
9.14 9.456652 9.470308 9.466354 8.94284 7.326661
13.1871 16.01083 15.95196 15.7429 15.12124 12.17808
14.67 17.77207 17.58629 17.29978 14.91579 14.06476
21.0048 22.93138 22.91386 22.95304 18.76243 15.73957
18.0984 22.67196 22.7472 22.74346 22.84076 19.60092
12.515 16.53202 16.52583 16.53096 16.34661 16.57687
13.4855 14.26534 14.26837 14.24788 14.25811 14.14392
3.75 10.56131 10.56102 10.62482 10.7033 10.71671
-0.1242 6.946062 6.946152 7.102471 7.056848 7.038688
-0.4048 5.492979 5.493178 5.494483 5.421444 5.454348
-0.7052 4.885693 4.88477 4.870475 4.860062 4.915739
3.5742 4.21096 4.214693 4.280257 4.338571 4.407067
9.695 8.314276 8.28134 7.761203 7.26845 6.658613
12.5371 15.56649 15.45923 14.5716 13.38847 11.9626
17.3917 16.48959 16.42764 16.35292 15.94209 15.67951
17.3581 20.17062 20.18191 20.01278 19.80382 18.97989
17.221 21.37282 21.36631 21.3774 21.09644 19.76296
11.2117 16.75084 16.79205 16.78558 16.82866 17.03275
9.6629 13.29407 13.36852 13.36897 13.36595 13.35167
5.1483 10.04741 10.04176 10.04152 10.04316 10.05095
-0.6129 6.434115 6.43653 6.436635 6.435936 6.432621
