"AT" "WT00" "WT10" "WT25" "WT50" "WT75"
5.16 10.21362 10.22243 10.23979 10.25765 10.29413
3.1113 6.986876 6.986425 6.986903 6.98462 6.981738
-0.0161 4.99809 4.987565 4.975397 4.945465 4.92573
0.9286 4.381349 4.390258 4.404952 4.425897 4.439412
2.8258 3.81938 3.798554 3.770709 3.71525 3.697557
8.8983 7.665825 7.65593 7.64012 7.616354 7.160471
12.4274 15.63655 15.26381 14.70471 13.77282 12.1058
16.6717 19.26398 18.47229 17.28473 15.30553 13.5289
18.3194 18.73275 18.51192 18.1807 17.62861 16.7705
17.4581 20.14829 20.0255 19.84126 19.53432 17.51304
14.685 18.41763 18.36058 18.27512 18.13245 16.86535
8.8871 13.34558 13.33694 13.32323 13.30191 13.4544
2.9067 9.616687 9.618947 9.62482 9.629356 9.602252
3.7597 6.400534 6.410479 6.427833 6.447801 6.468649
2.2516 5.154276 5.163007 5.161378 5.178604 5.195923
-8.2552 3.888053 3.907365 3.926651 3.973167 4.068339
5.0661 2.20838 2.325916 2.50307 2.797044 3.019413
7.5167 3.935997 3.937506 3.940124 3.943952 3.953774
13.479 12.55156 11.95918 11.07045 9.589479 8.549903
14.17 15.25322 15.05369 14.75442 14.25558 11.9806
17.9742 17.77649 17.77837 17.78118 17.78588 15.18742
16.1645 19.81525 19.60392 19.28692 18.7586 16.93683
16.0933 17.25999 17.22382 17.16952 17.07915 16.1176
8.5065 14.17165 14.1864 14.2082 14.24537 14.00334
2.1433 9.030822 9.03636 9.048716 9.058514 9.080497
1.2581 5.641308 5.652124 5.668343 5.695499 5.715035
-0.821 3.425132 3.495733 3.601086 3.778375 3.939161
4.8375 3.318205 3.338204 3.368389 3.416977 3.550857
9.1984 5.62299 5.611289 5.593711 5.566137 5.266521
9.1183 10.76595 10.28305 9.558706 8.346088 7.566566
10.4871 12.92408 12.77049 12.5401 11.99707 10.78194
17.3833 18.39546 18.20107 17.90949 15.95132 12.7459
18.5258 24.63224 23.97085 22.97877 19.62149 16.4823
16.9903 19.61226 19.48003 19.2818 18.3751 17.21988
14.315 17.01903 17.04138 17.07465 16.88244 16.16359
9.7565 13.51289 13.48819 13.45164 13.37493 13.18093
3.935 9.640043 9.678526 9.74117 9.833744 9.936018
0.8484 5.961097 5.959852 5.961471 5.95715 5.958358
0.1629 4.69544 4.693731 4.691304 4.686474 4.68389
4.1125 4.185674 4.193317 4.204779 4.226765 4.235446
1.4484 3.516513 3.580459 3.676378 3.82264 3.866057
6.3233 5.767157 5.633565 5.433178 5.141585 5.049496
15.35 12.1386 11.85667 11.43378 10.1308 8.494821
15.85 17.23518 16.95497 16.53465 15.01032 13.6551
18.879 20.45388 20.11151 19.59796 18.20007 15.81427
18.9823 22.5194 22.5226 22.5274 21.49761 16.33184
16.7283 20.65022 20.68051 20.72593 20.61589 19.39874
8.9 14.18446 14.1869 14.19055 14.21168 14.22262
3.815 9.636292 9.636502 9.636632 9.64546 9.706064
2.621 6.722083 6.722967 6.72304 6.775 6.862181
0.4242 4.811297 4.811382 4.811274 4.820769 4.833391
2.5018 4.328868 4.320231 4.311274 4.200209 4.132017
8.1758 5.568297 5.512686 5.432242 5.384431 5.267802
10.4017 10.75563 10.69815 10.61121 9.188698 7.769018
14.0871 16.76638 16.76246 16.75657 14.65434 10.60752
17.1983 19.31266 19.25018 19.15645 18.4037 13.83814
20.3887 21.58789 21.49816 21.36357 19.28965 17.45848
18.2613 20.426 20.44931 20.48428 20.21532 20.05476
16.1117 19.8613 19.87316 19.89095 19.95217 19.12429
9.6677 15.03679 15.1353 15.28309 15.27508 15.1688
2.5733 9.508496 9.511295 9.515435 9.505681 9.528107
2.9419 6.239976 6.232221 6.222045 6.202051 6.265998
0.2226 5.054757 5.060171 5.074105 5.049805 5.054991
2.8362 4.439758 4.428501 4.417832 4.316292 4.278221
7.0694 3.997457 4.009448 4.028701 4.063669 4.059973
9.2033 8.970792 8.975505 8.982377 6.881196 6.309128
14.7694 16.47745 16.46641 16.4499 12.12511 10.06011
17.8217 21.79592 21.53812 21.15139 18.89296 15.24321
16.4774 18.92109 18.87518 18.80631 18.69892 18.16462
17.8871 19.03033 18.74945 18.32812 18.35142 16.74457
