"year" "month" "temp"
1931 2 1.2
1931 3 2.4
1931 4 7.3
1931 5 13.6
1931 6 15.3
1931 7 16.6
1931 8 15.8
1931 9 11.6
1931 10 8.9
1931 11 6.7
1931 12 3.3
1932 1 4
1932 2 1.5
1932 3 3.1
1932 4 7.3
1932 5 12.2
1932 6 15
1932 7 17.5
1932 8 18.9
1932 9 14.8
1932 10 9.3
1932 11 5.5
1932 12 3.5
1933 1 0.1
1933 2 2.8
1933 3 6.8
1933 4 8.4
1933 5 12.1
1933 6 15.5
1933 7 18.1
1933 8 17.4
1933 9 14.8
1933 10 9.9
1933 11 3.9
1933 12 -2.1
1934 1 2.2
1934 2 3.4
1934 3 4.8
1934 4 10.3
1934 5 12.1
1934 6 15.9
1934 7 17.7
1934 8 16.2
1934 9 16
1934 10 11.3
1934 11 5.4
1934 12 7.2
1935 1 2.9
1935 2 4.3
1935 3 5
1935 4 7.9
1935 5 11
1935 6 16.5
1935 7 17.7
1935 8 17.2
1935 9 14.1
1935 10 9.7
1935 11 7.1
1935 12 2.6
1936 1 4.7
1936 2 2.2
1936 3 6.5
1936 4 6.2
1936 5 13
1936 6 16.5
1936 7 16.4
1936 8 16.9
1936 9 14.1
1936 10 8.7
1936 11 5.2
1936 12 3.3
1937 1 2.6
1937 2 4.8
1937 3 3.4
1937 4 8.8
1937 5 14.2
1937 6 15.7
1937 7 16.7
1937 8 17.4
1937 9 13.4
1937 10 10.9
1937 11 4.6
1937 12 1.6
1938 1 4
1938 2 3.4
1938 3 7.7
1938 4 6.9
1938 5 11.1
1938 6 15.4
1938 7 16.1
1938 8 17.9
1938 9 15
1938 10 9.5
1938 11 8.7
1938 12 0.4
1939 1 4.3
1939 2 3.5
1939 3 4.5
1939 4 9.2
1939 5 12
1939 6 16.3
1939 7 17
1939 8 17.6
1939 9 15.1
1939 10 7.6
1939 11 7.3
1939 12 1
1940 1 -5.5
1940 2 -1.3
1940 3 5.2
1940 4 9
1940 5 13.2
1940 6 16.6
1940 7 15.8
1940 8 15.2
1940 9 12.9
1940 10 8.8
1940 11 6.7
1940 12 0.7
1941 1 -2.5
1941 2 1.6
1941 3 4.7
1941 4 6.8
1941 5 9.6
1941 6 16.8
1941 7 19.2
1941 8 15
1941 9 14.4
1941 10 9.7
1941 11 4.1
1941 12 4.7
1942 1 -5.1
1942 2 -4.2
1942 3 2.7
1942 4 9.3
1942 5 12.1
1942 6 14.4
1942 7 16
1942 8 17.9
1942 9 14.7
1942 10 11.9
1942 11 5.6
1942 12 4.2
1943 1 2.7
1943 2 4.4
1943 3 6.4
1943 4 10.5
1943 5 13.4
1943 6 14.4
1943 7 17.2
1943 8 16.8
1943 9 13.4
1943 10 10.4
1943 11 4.7
1943 12 1.3
1944 1 5.2
1944 2 1.8
1944 3 3.6
1944 4 9.5
1944 5 11.6
1944 6 14.1
1944 7 16.9
1944 8 19.3
1944 9 13.2
1944 10 9.5
1944 11 6.4
1944 12 2.5
1945 1 -1.6
1945 2 6
1945 3 7.3
1945 4 10.2
1945 5 13.6
1945 6 16
1945 7 17.8
1945 8 16.4
1945 9 14.5
1945 10 11.5
1945 11 4.9
1945 12 3.2
1946 1 0.2
1946 2 4.6
1946 3 4.2
1946 4 10.3
1946 5 12.9
1946 6 13.9
1946 7 17.4
1946 8 15.7
1946 9 14.5
1946 10 9.3
1946 11 6.5
1946 12 -0.3
1947 1 -1.4
1947 2 -5.5
1947 3 3.3
1947 4 9
1947 5 15.1
1947 6 17.5
1947 7 18.8
1947 8 19.8
1947 9 16.8
1947 10 9.3
1947 11 7.1
1947 12 4.2
1948 1 5.1
1948 2 3
1948 3 6.7
1948 4 10
1948 5 12.7
1948 6 15.3
1948 7 16.6
1948 8 16.4
1948 9 14.4
1948 10 9.7
1948 11 4.9
1948 12 3.5
1949 1 3.7
1949 2 3.8
1949 3 4
1949 4 10.4
1949 5 11.3
1949 6 14.4
1949 7 17.4
1949 8 17.1
1949 9 17.2
1949 10 11.4
1949 11 5.2
1949 12 4.4
1950 1 1
1950 2 5.5
1950 3 6.5
1950 4 7.7
1950 5 12.8
1950 6 17.3
1950 7 17.3
1950 8 17.1
1950 9 13.4
1950 10 9.2
1950 11 5.9
1950 12 -1.2
1951 1 4.1
1951 2 4
1951 3 4.1
1951 4 7.3
1951 5 12.2
1951 6 15.3
1951 7 17
1951 8 16.4
1951 9 15.3
1951 10 8.7
1951 11 8.5
1951 12 4.4
1952 1 2.5
1952 2 2.5
1952 3 5
1952 4 10.6
1952 5 13.5
1952 6 15.1
1952 7 17.4
1952 8 17
1952 9 11.6
1952 10 8.3
1952 11 3.1
1952 12 1.5
1953 1 1.4
1953 2 2.5
1953 3 5.1
1953 4 8.7
1953 5 13.1
1953 6 15.8
1953 7 17.1
1953 8 16.5
1953 9 13.9
1953 10 11.8
1953 11 7.7
1953 12 5.3
1954 1 0.4
1954 2 -0.3
1954 3 6
1954 4 6.8
1954 5 13.2
1954 6 15.1
1954 7 14.3
1954 8 15.8
1954 9 13.5
1954 10 12
1954 11 6.9
1954 12 5.5
1955 1 0.3
1955 2 0.3
1955 3 2
1955 4 8.7
1955 5 10.2
1955 6 14.5
1955 7 17.8
1955 8 17.9
1955 9 14.5
1955 10 9.8
